date,grid_0,grid_1,grid_2,grid_3,grid_4,grid_5,grid_6,grid_7,grid_8
01 Jan 00:00,-2.79191398618,-2.79190166328,-2.79146615917,-2.79258900889,-2.79327738532,-2.79219950588,-2.79603142496,-2.80371270758,-2.79558577636
01 Jan 01:00,-2.81791131717,-2.81815762183,-2.81753319526,-2.81892759599,-2.82001333507,-2.81862959278,-2.82250709701,-2.83123519844,-2.82212911747
01 Jan 02:00,-2.82500427862,-2.82532334742,-2.82467287876,-2.82606850103,-2.82722150925,-2.82581940081,-2.82947965055,-2.83804375299,-2.82914771475
01 Jan 03:00,-2.82607187729,-2.82635481147,-2.82578106974,-2.82707741789,-2.82816808211,-2.82687122025,-2.83046500369,-2.83880254543,-2.83017486991
01 Jan 04:00,-2.82614508995,-2.82640697939,-2.82589218899,-2.82713727828,-2.82821297163,-2.82697575646,-2.83062576544,-2.83904834318,-2.83037497816
01 Jan 05:00,-2.82675712610,-2.82705234118,-2.82653325785,-2.82778221709,-2.82889863682,-2.82765333472,-2.83125435030,-2.83970597889,-2.83103238450
01 Jan 06:00,-2.82774811793,-2.82807947854,-2.82754902598,-2.82882585294,-2.83000004996,-2.82872712198,-2.83233940607,-2.84095251898,-2.83214212620
01 Jan 07:00,-2.82912170733,-2.82948262189,-2.82893637976,-2.83020478266,-2.83138826260,-2.83011702444,-2.83355914296,-2.84191971204,-2.83337483795
01 Jan 08:00,-2.82827688665,-2.82850144631,-2.82809492031,-2.82915290785,-2.83009549965,-2.82905697235,-2.83230268982,-2.83975357292,-2.83212247077
01 Jan 09:00,-2.81102571441,-2.81119917908,-2.81163693705,-2.80775513999,-2.80850452019,-2.80990091027,-2.79708042992,-2.79748388654,-2.80826514083
01 Jan 10:00,-2.78761903313,-2.78886300567,-2.79035659251,-2.77850624006,-2.78238991879,-2.78672419977,-2.69111664478,-2.75656549663,-2.78337037345
01 Jan 11:00,-2.77540890487,-2.77780912603,-2.78000738589,-2.75952572127,-2.76895405950,-2.77577695437,-2.69099922695,-2.68751698658,-2.77194668195
01 Jan 12:00,-2.7568446749,-2.76385973680,-2.76752946301,-2.68070585817,-2.74986453584,-2.76182668462,-2.66377550969,-2.63616056281,-2.75633795721
01 Jan 13:00,-2.74950108587,-2.75660851765,-2.76273648939,-2.69151554906,-2.69833300711,-2.75689068270,-2.68408163480,-2.64372080114,-2.75142501581
01 Jan 14:00,-2.76183557187,-2.75977527038,-2.76606698304,-2.73403993390,-2.72677730677,-2.76146321422,-2.75162691845,-2.69723657188,-2.75912931326
