year, month, day, hour, minute, metadata, dry_bulb, dew_point, rel_hum, atm_pres_station, extrerr_hor_rad, extrterr_dir_nor_rad, hor_infr_rad_int, global_hor_rad, dir_nor_rad, diff_hor_rad, global_hor_ill, dir_nor_ill, diff_hor_ill, zenith_lum, wind_dir, wind_vel, total_sky_cover, opaque_sky_cover, visibility, ceiling_height, present_wea_obs, present_wea_codes, precipitation, aerosol_opt_dept, snow_depth, days_till_last_snow, albedo, liquid_prec_depth, liquid_prec_quantity
2011,1,1,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,0,0,289,0,0,0,0,0,0,0,80,2.60,9,9,6000.0,180,9,999999999,8,0.0850,0,88,0.160,0.0,0.0
2011,1,1,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,0,0,281,0,0,0,0,0,0,0,60,2.10,9,9,5000.0,77777,9,999999999,8,0.0850,0,88,0.160,0.0,0.0
2011,1,1,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,0,0,295,0,0,0,0,0,0,0,79,1.00,9,9,5000.0,150,9,999999999,8,0.0850,0,88,0.160,0.0,0.0
2011,1,1,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,0,0,297,0,0,0,0,0,0,0,50,3.10,9,9,6000.0,180,9,999999999,8,0.0850,0,88,0.160,0.0,0.0
2011,1,1,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,0,0,291,0,0,0,0,0,0,0,80,2.60,9,9,7000.0,150,9,999999999,8,0.0850,0,88,0.170,0.0,0.0
2011,1,1,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,0,0,293,0,0,0,0,0,0,0,120,2.60,9,9,6000.0,150,9,999999999,8,0.0850,0,88,0.170,0.0,0.0
2011,1,1,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,0,0,283,0,0,0,0,0,0,0,100,1.50,9,9,6000.0,150,9,999999999,8,0.0850,0,88,0.170,0.0,0.0
2011,1,1,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,0,0,300,0,0,0,0,0,0,0,110,1.00,9,9,4900.0,3000,9,999999999,8,0.0850,0,88,0.170,0.1,0.0
2011,1,1,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-2.00,92,99079,54,378,292,13,11,12,4380,3270,4379,3109,27,0.00,5,5,4200.0,150,9,999999999,8,0.0850,0,88,0.170,0.0,0.0
2011,1,1,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-1.00,100,99079,223,1415,302,52,53,41,7870,5276,7431,4311,11,0.00,5,5,5000.0,600,9,999999999,9,0.0850,0,88,0.170,0.0,0.0
2011,1,1,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-1.00,100,99079,349,1415,300,70,49,59,9112,4410,8257,4046,10,1.00,5,5,5000.0,77777,9,999999999,9,0.0850,0,88,0.170,0.0,0.0
2011,1,1,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-1.00,92,99087,422,1415,305,74,35,63,10011,4148,9041,4150,310,0.00,9,9,4400.0,600,9,999999999,9,0.0850,0,88,0.170,0.0,0.0
2011,1,1,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-1.00,92,99087,438,1415,305,86,44,72,10180,4043,9175,4373,180,2.10,9,9,5000.0,990,9,999999999,9,0.0850,0,88,0.170,0.0,0.0
2011,1,1,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.10,-1.00,92,99087,396,1415,307,78,33,69,8233,2599,7594,4005,300,1.50,9,9,7000.0,1050,9,999999999,9,0.0850,0,88,0.170,0.0,0.0
2011,1,1,15,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.30,0.00,100,99087,299,1415,301,54,17,49,4639,866,4436,2319,321,1.00,3,3,4500.0,77777,9,999999999,10,0.0850,0,88,0.170,0.0,0.0
2011,1,1,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.70,0.00,100,99087,153,1415,307,23,0,23,1485,0,1469,592,332,0.00,5,5,2800.0,77777,0,919099999,10,0.0850,0,88,0.170,0.0,0.0
2011,1,1,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.70,0.00,100,99087,0,1168,311,5,0,5,243,0,243,86,323,0.00,9,9,2700.0,2700,0,919099999,10,0.0850,0,88,0.170,0.0,0.0
2011,1,1,18,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.50,0.00,100,99087,0,0,308,0,0,0,0,0,0,0,240,1.50,5,5,2500.0,77777,0,919099999,10,0.0850,0,88,0.170,0.0,0.0
2011,1,1,19,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.50,0.00,100,99087,0,0,306,0,0,0,0,0,0,0,230,1.00,5,5,2200.0,77777,0,919099999,10,0.0850,0,88,0.170,0.0,0.0
2011,1,1,20,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.40,0.00,100,99087,0,0,304,0,0,0,0,0,0,0,250,2.10,9,9,1400.0,77777,0,919099999,10,0.0850,0,88,0.170,0.0,0.0
2011,1,1,21,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.50,0.00,100,99087,0,0,313,0,0,0,0,0,0,0,250,2.10,10,10,1000.0,15,0,919099999,10,0.0850,0,88,0.170,0.0,0.0
2011,1,1,22,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,1.00,0.00,93,99095,0,0,316,0,0,0,0,0,0,0,270,2.10,10,10,1200.0,15,0,919099999,10,0.0850,0,88,0.170,0.0,0.0
2011,1,1,23,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,1.00,1.00,100,99095,0,0,317,0,0,0,0,0,0,0,280,2.10,10,10,600.0,77777,0,919099999,11,0.0850,0,88,0.170,0.0,0.0
2011,1,1,24,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,1.50,1.00,100,99095,0,0,317,0,0,0,0,0,0,0,330,2.10,10,10,350.0,77777,0,919099999,11,0.0850,0,88,0.170,0.0,0.0
2011,1,2,1,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,1.80,1.80,100,99095,0,0,318,0,0,0,0,0,0,0,350,2.60,10,10,350.0,15,9,999999999,12,0.0840,0,88,0.170,0.0,0.0
2011,1,2,2,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.00,2.00,100,99095,0,0,320,0,0,0,0,0,0,0,350,4.60,10,10,250.0,15,9,999999999,12,0.0840,0,88,0.170,0.0,0.0
2011,1,2,3,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.20,2.20,100,99095,0,0,320,0,0,0,0,0,0,0,350,2.60,10,10,200.0,15,9,999999999,12,0.0840,0,88,0.170,0.0,0.0
2011,1,2,4,0,?9?9?9?9E0?9?9?9*9*9?9?9?9?9?9?9?9?9*9*9?9*9,2.10,2.10,100,99095,0,0,313,0,0,0,0,0,0,0,360,2.60,10,10,250.0,77777,9,999999999,12,0.0840,0,88,0.170,0.0,0.0
2011,1,2,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.50,1.50,100,99087,0,0,283,0,0,0,0,0,0,0,360,3.10,9,9,500.0,15,9,999999999,11,0.0840,0,88,0.170,0.0,0.0
2011,1,2,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.40,1.40,100,99087,0,0,287,0,0,0,0,0,0,0,350,3.60,9,9,2100.0,1500,9,999999999,11,0.0840,0,88,0.170,0.0,0.0
2011,1,2,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.00,0.00,93,99095,0,0,276,0,0,0,0,0,0,0,350,3.60,9,9,3100.0,1380,9,999999999,10,0.0840,0,88,0.170,0.0,0.0
2011,1,2,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.40,1.40,100,99087,0,0,301,0,0,0,0,0,0,0,10,2.60,9,9,5000.0,77777,9,999999999,11,0.0840,0,88,0.170,0.0,0.0
2011,1,2,9,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.70,1.70,100,99087,54,379,278,26,82,18,6255,11591,5830,4355,350,3.60,0,0,6000.0,77777,9,999999999,12,0.0840,0,88,0.170,0.0,0.0
2011,1,2,10,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.60,0.60,93,99095,224,1415,271,75,139,55,12002,13213,11354,6981,360,3.60,0,0,5000.0,77777,9,999999999,10,0.0840,0,88,0.170,0.0,0.0
2011,1,2,11,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.80,1.80,100,99095,350,1415,279,121,117,92,16517,10700,14662,7799,360,3.60,0,0,7000.0,77777,9,999999999,12,0.0840,0,88,0.160,0.0,0.0
2011,1,2,12,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,2.00,1.00,93,99103,423,1415,285,149,92,122,18495,9614,15967,7858,10,3.10,0,0,7000.0,77777,9,999999999,11,0.0840,0,88,0.160,0.0,0.0
2011,1,2,13,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,3.00,-1.20,74,99111,440,1415,295,158,93,130,18132,9660,15556,7859,360,5.10,5,5,7000.0,77777,9,999999999,9,0.0840,0,88,0.160,0.0,0.0
2011,1,2,14,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,3.00,-2.30,68,99111,399,1415,296,143,92,117,14666,7744,13008,7160,20,3.60,0,0,7000.0,1470,9,999999999,8,0.0840,0,88,0.160,0.0,0.0
2011,1,2,15,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,3.00,-1.20,74,99111,302,1415,294,97,56,85,8786,4253,8310,5228,360,4.10,9,9,7000.0,77777,9,999999999,9,0.0840,0,88,0.160,0.0,0.0
2011,1,2,16,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,2.00,0.00,87,99103,156,1415,305,42,25,38,3177,1313,3082,2046,360,2.60,0,0,7000.0,77777,9,999999999,10,0.0840,0,88,0.160,0.0,0.0
2011,1,2,17,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,2.40,-1.00,86,99095,0,1192,306,8,0,7,405,0,382,133,360,3.10,0,0,7000.0,77777,9,999999999,9,0.0840,0,88,0.160,0.0,0.0
2011,1,2,18,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,1.70,-1.00,92,99087,0,0,306,0,0,0,0,0,0,0,20,2.60,0,0,7000.0,77777,9,999999999,9,0.0840,0,88,0.160,0.0,0.0
2011,1,2,19,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,1.40,-1.00,100,99079,0,0,300,0,0,0,0,0,0,0,350,1.50,9,9,8000.0,77777,9,999999999,9,0.0840,0,88,0.160,0.0,0.0
2011,1,2,20,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,1.40,-1.00,92,99087,0,0,270,0,0,0,0,0,0,0,350,1.50,5,5,8000.0,1320,9,999999999,9,0.0840,0,88,0.160,0.0,0.0
2011,1,2,21,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,1.20,-2.00,92,99079,0,0,260,0,0,0,0,0,0,0,300,1.50,0,0,8000.0,77777,9,999999999,8,0.0840,0,88,0.160,0.0,0.0
2011,1,2,22,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,1.00,-2.00,100,99071,0,0,275,0,0,0,0,0,0,0,300,1.50,3,3,8000.0,77777,9,999999999,8,0.0840,0,88,0.160,0.0,0.0
2011,1,2,23,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.40,-2.00,92,99079,0,0,272,0,0,0,0,0,0,0,310,2.60,9,9,8000.0,1500,9,999999999,8,0.0840,0,88,0.170,0.0,0.0
2011,1,2,24,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9*9?9*9*9?9*9,0.70,-0.40,92,99079,0,0,289,0,0,0,0,0,0,0,310,2.10,0,0,8000.0,77777,9,999999999,9,0.0840,0,88,0.170,0.0,0.0
2011,1,3,1,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.70,-2.00,92,99079,0,0,302,0,0,0,0,0,0,0,320,2.10,0,0,9000.0,77777,9,999999999,8,0.0840,0,88,0.170,0.0,0.0
2011,1,3,2,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.30,-1.00,100,99079,0,0,294,0,0,0,0,0,0,0,320,2.60,5,5,9000.0,77777,9,999999999,9,0.0840,0,88,0.170,0.0,0.0
2011,1,3,3,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,-1.00,-1.00,100,99079,0,0,283,0,0,0,0,0,0,0,330,2.10,5,5,6000.0,77777,9,999999999,9,0.0840,0,88,0.170,0.0,0.0
2011,1,3,4,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-1.00,92,99087,0,0,302,0,0,0,0,0,0,0,340,2.60,0,0,6000.0,77777,9,999999999,9,0.0840,0,88,0.170,0.0,0.0
2011,1,3,5,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-1.00,92,99087,0,0,290,0,0,0,0,0,0,0,350,2.10,0,0,4400.0,77777,9,999999999,9,0.0840,0,88,0.170,0.0,0.0
2011,1,3,6,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,0.00,100,99087,0,0,284,0,0,0,0,0,0,0,350,2.60,0,0,4800.0,77777,9,999999999,10,0.0840,0,88,0.170,0.0,0.0
2011,1,3,7,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-1.00,92,99087,0,0,296,0,0,0,0,0,0,0,350,2.10,0,0,4100.0,77777,9,999999999,9,0.0840,0,88,0.170,0.0,0.0
2011,1,3,8,0,?9?9?9?9E0?9?9?9?9?9?9?9?9?9?9?9?9?9*9*9?9*9,0.00,-1.00,92,99087,0,0,266,0,0,0,0,0,0,0,360,2.60,9,9,4300.0,77777,9,999999999,9,0.0840,0,88,0.170,0.0,0.0
