0,1,2,3,4,5,6,7,8,hoy
-0.5295119,-0.54646957,-0.5348571,-0.5920656,-0.5266509,-0.60546046,-0.56715214,-0.62486714,-0.6246625,6056
0.47603878,0.4942621,0.48545527,0.51300657,0.52592707,0.51345116,0.57701343,0.7019247,0.5205399,5556
0.6676874,0.6547658,0.63811946,0.6872294,0.7623455,0.7191059,0.8850503,1.5527107,1.0120146,5990
-1.4242747,-1.4407613,-1.4267191,-1.4823003,-1.4355044,-1.3996472,-1.4466453,-1.4299854,-1.4486454,7674
-1.6130493,-1.6177487,-1.6137768,-1.6134715,-1.5999972,-1.6243914,-1.5884346,-1.6326122,-1.6378509,3319
0.34300372,0.33785474,0.3489933,0.342625,0.34350485,0.35357726,0.3414728,0.30667537,0.35495776,5761
-0.34342498,-0.35006332,-0.30821356,-0.34092164,-0.3280142,-0.33427942,-0.31313932,-0.34334183,-0.32437247,5972
-1.991481,-1.9779544,-1.9768988,-1.9943703,-1.9879154,-1.9683987,-2.0281157,-1.9975411,-1.9579735,8758
-1.364138,-1.385745,-1.3916463,-1.3985085,-1.3641287,-1.3658364,-1.3694656,-1.4299401,-1.4906911,6079
-2.0711377,-2.0769658,-2.0782266,-2.0920188,-2.0702293,-2.0568285,-2.0899925,-2.098814,-2.065427,7177
-2.7476275,-2.736147,-2.7485967,-2.7551548,-2.7426307,-2.729355,-2.7862415,-2.792183,-2.7601998,7061
-2.3397386,-2.3461158,-2.3536253,-2.3651912,-2.3264878,-2.3078365,-2.4125392,-2.3590717,-2.3388093,6627
-2.1712818,-2.1633818,-2.1745026,-2.1574624,-2.1656704,-2.1344147,-2.2096112,-2.184497,-2.1436512,1127
0.6359314,0.6683836,0.7037122,0.6880108,0.83313876,0.8754569,0.601064,1.4372519,1.2269759,5632
-0.31983525,-0.3543716,-0.32121208,-0.38071045,-0.31847537,-0.380101,-0.3270108,-0.2673303,-0.38717195,5503
-0.36326945,-0.3588301,-0.36698124,-0.35813195,-0.3409236,-0.3575239,-0.33170417,-0.24989653,-0.33165562,5198
-2.052559,-2.0522451,-2.0526147,-2.0930095,-2.047905,-2.054061,-2.1097922,-2.0621655,-2.0605001,6870
-1.5825831,-1.5773079,-1.5768884,-1.4480747,-1.5817093,-1.5922652,-1.0828397,-1.25435,-1.583877,1210
-0.55429924,-0.5583824,-0.54948914,-0.5811436,-0.56563157,-0.55865043,-0.5873196,-0.56098324,-0.5633509,3382
-2.6733878,-2.671354,-2.7135854,-2.7307496,-2.623533,-2.6907022,-2.782832,-2.6437716,-2.7689695,7238
-1.8388784,-1.8678045,-1.8456596,-1.8899455,-1.8390657,-1.820286,-1.8854289,-1.8956629,-1.848308,2227
-0.7078742,-0.69113874,-0.6859447,-0.62342966,-0.6831866,-0.6703399,-0.60987306,-0.60160995,-0.6475549,6137
0.51149297,0.5106561,0.52186334,0.54483676,0.53853154,0.54256207,0.60640466,0.68742543,0.6531905,4617
-2.730661,-2.743458,-2.7287457,-2.7500694,-2.7380874,-2.735176,-2.7795594,-2.7850223,-2.7447448,1777
-2.5348785,-2.5528495,-2.537719,-2.5744808,-2.530385,-2.5317667,-2.6081703,-2.5836687,-2.545967,2067
-0.20406215,-0.21384206,-0.22135353,-0.24624747,-0.16654587,-0.23983485,-0.2498822,-0.21813941,-0.3327828,4640
-0.39948165,-0.4046898,-0.39072415,-0.4361924,-0.38268465,-0.3985809,-0.4154336,-0.38686565,-0.42472824,6234
-2.4357069,-2.4269114,-2.4145153,-2.4534836,-2.4223247,-2.4392807,-2.5229218,-2.533902,-2.4361002,1807
0.42065898,0.43060523,0.44171607,0.4171951,0.4543653,0.47847816,0.41072333,0.54048157,0.47549573,5673
-2.3103542,-2.3168175,-2.314258,-2.3210933,-2.3247807,-2.343261,-2.2946873,-2.333503,-2.3165426,8612
-0.474067,-0.49093357,-0.4923684,-0.5287216,-0.4729873,-0.46831074,-0.5311261,-0.52442884,-0.48056784,5324
-2.297312,-2.306895,-2.306443,-2.3232183,-2.297662,-2.278531,-2.3353534,-2.2979345,-2.2907581,360
-0.87858415,-0.8671148,-0.854447,-0.83666945,-0.8855501,-0.8761005,-0.83643514,-0.8661153,-0.8283428,5285
-1.1954547,-1.1884816,-1.2324073,-1.1020551,-1.1643416,-1.218582,-0.73988736,-0.8142354,-1.1491579,7258
-2.453416,-2.4496112,-2.4667842,-2.4392803,-2.4566245,-2.4557076,-2.3974667,-2.4791682,-2.4432437,80
-0.8857204,-0.93943125,-0.9242615,-0.90870476,-0.8760893,-0.8980588,-0.7404542,-0.6171673,-0.9398855,3684
-2.7186441,-2.7652247,-2.7377617,-2.7585902,-2.7357466,-2.7184012,-2.7677436,-2.7109685,-2.7504296,2333
-2.4167309,-2.431359,-2.39778,-2.4006176,-2.4105203,-2.4076934,-2.396347,-2.3893306,-2.3941636,1087
-1.0933766,-1.0881178,-1.0522743,-1.0244483,-1.0173584,-1.0304581,-1.0209539,-0.9229758,-1.007418,758
-1.8955576,-1.8597004,-1.859181,-1.8729123,-1.8835888,-1.8813972,-1.8678778,-1.8759916,-1.8771851,1437
-0.107650325,-0.088752754,-0.110741526,-0.054788202,-0.10088819,-0.10935291,-0.060866147,-0.107489854,-0.02715486,4890
-0.046796575,-0.032383755,-0.06553393,-0.018689126,-0.012792483,-0.09080013,0.06549919,0.005313713,-0.11481574,3803
-1.2745441,-1.2741172,-1.2858334,-1.3030937,-1.2661967,-1.2847815,-1.266665,-1.196687,-1.2808095,2887
-2.3489828,-2.3333538,-2.3486445,-2.3317153,-2.343711,-2.326958,-2.359471,-2.3644123,-2.3193882,1175
-0.1806543,-0.1862528,-0.19541416,-0.18768553,-0.17141202,-0.21190125,-0.15909347,-0.19695944,-0.26280597,5834
0.2934661,0.31290805,0.33688515,0.36265847,0.40237248,0.45721045,0.3011852,0.86073977,0.88571334,3785
